kepid	koi_period	koi_prad	koi_quarters
6359798	14.154024280	53.25	11111111111111111000000000000000
6311681	0.844786082	35.27	11111111111111111000000000000000
6365321	0.848483947	32.11	11111111111111111000000000000000
6301035	11.990975760	37.47	11111111111111111000000000000000
3859079	53.529270200	2.28	11111011101110111000000000000000
3557493	0.393726813	24.17	
4061149	2.757584622	1.01	11111111111111111000000000000000
3444588	0.928310036	1.16	11111111111111111000000000000000
8394721	13.484576680	3.39	11111111111111111000000000000000
3962243	31.884147300	3.70	11111011101110111000000000000000
10743597	16.158111120	86.13	11111101110111011000000000000000
10015516	67.692139070	175.98	
10154388	12.062229620	1.62	11111101110111011000000000000000
1432789	9.931463070	2.41	11111111111111111000000000000000
1718189	21.853629050	1.75	11111111111111111000000000000000
5880320	8.193450650	1.74	11111111111111111000000000000000
5130369	19.978670000	6.85	11111111111111111000000000000000
6037187	41.805954400	2.02	11111111111111111000000000000000
6147122	15.451581840	2.02	11111111111111111000000000000000
8257407	89.698168533	102.08	11111111111111111000000000000000
8218274	1.187352427	67.35	11111111111111111000000000000000
3964562	3.012476582	65.25	11111011101110111000000000000000
5735762	4.778003060	1.85	11111111111111111000000000000000
6292162	7.814839231	5.33	00011111111111111000000000000000
6307521	29.745249900	3.60	11111111111111111000000000000000
6359320	5.326672990	2.26	00011111111111111000000000000000
3848972	0.741057213	26.67	11111111111111111000000000000000
3860441	2.988085455	21.81	11111011101110111000000000000000
3765771	2.783883492	67.17	11111011101110111000000000000000
3557341	0.393727296	23.05	01011011101110111000000000000000
3859628	8.172426440	3.29	00011011101110111000000000000000
3644071	1295.362215000	57.82	
1718189	13.060793600	1.45	11111111111111111000000000000000
1431122	4.298920100	2.12	11111111111111111000000000000000
3858949	25.951846100	22.32	11111011101110111000000000000000
3858824	25.951853600	24.60	11111011101110111000000000000000
2157247	5.686287390	4.50	
7601633	15.663886949	27.36	10101010101010101000000000000000
8242681	4.020628573	16.94	11111111111111111000000000000000
8260218	5.714817603	9.29	00011111111111111000000000000000
8246781	185.022882220	49.82	11111111111111111000000000000000
8264070	2.897432135	14.35	00001100111111111000000000000000
8222813	8.704205250	2.86	00011111111111111000000000000000
6359320	8.128093300	1.39	00011111111111111000000000000000
6359320	2.836689310	1.19	00011111111111111000000000000000
6362874	0.974868896	1.16	11111111111111111000000000000000
6272413	4.897210060	1.48	11111111111111111000000000000000
8279765	2.757794163	20.05	11111111111111111000000000000000
8330548	1.914158508	13.63	11111111111111111000000000000000
3348082	3.982166980	3.32	11111111111111111000000000000000
3853673	0.643794198	19.51	11111111111111111000000000000000
3447722	16.088323180	3.42	11111111111111111000000000000000
3447722	10.300679190	2.20	11111111111111111000000000000000
3447722	35.675745300	3.02	11111111111111111000000000000000
3447722	1.008616770		
